Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,SQ_WAVES
211,"void tmac_gemv_direct<(ggml_type)12, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,170,3413214,3413214,16384,256,0,0,72,0,128,32,0x0,0x78416952cfc0,512
212,"void tmac_gemv_direct<(ggml_type)16, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,171,3413214,3413214,16384,256,9216,0,96,0,128,32,0x0,0x78416952d9c0,512
219,"void tmac_gemv_direct<(ggml_type)16, true>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,178,3413214,3413214,65536,256,9216,0,96,0,128,32,0x0,0x78416952d980,2048
221,"void tmac_gemv_fused_glu<(ggml_type)16, (ggml_glu_op)2>(float*, void const*, void const*, float const*, int, int, int const*, long, int) [clone .kd]",1,1,180,3413214,3413214,262144,256,9216,0,104,0,128,32,0x0,0x78416952da00,8192
222,"void tmac_gemv_direct<(ggml_type)16, true>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,181,3413214,3413214,65536,256,9216,0,96,0,128,32,0x0,0x78416952d980,2048
224,"void tmac_gemv_direct<(ggml_type)16, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,183,3413214,3413214,65536,256,9216,0,96,0,128,32,0x0,0x78416952d9c0,2048
226,"void tmac_gemv_direct<(ggml_type)12, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,185,3413214,3413214,16384,256,0,0,72,0,128,32,0x0,0x78416952cfc0,512
227,"void tmac_gemv_direct<(ggml_type)16, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,186,3413214,3413214,16384,256,9216,0,96,0,128,32,0x0,0x78416952d9c0,512
234,"void tmac_gemv_direct<(ggml_type)16, true>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,193,3413214,3413214,65536,256,9216,0,96,0,128,32,0x0,0x78416952d980,2048
236,"void tmac_gemv_fused_glu<(ggml_type)16, (ggml_glu_op)2>(float*, void const*, void const*, float const*, int, int, int const*, long, int) [clone .kd]",1,1,195,3413214,3413214,262144,256,9216,0,104,0,128,32,0x0,0x78416952da00,8192
237,"void tmac_gemv_direct<(ggml_type)16, true>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,196,3413214,3413214,65536,256,9216,0,96,0,128,32,0x0,0x78416952d980,2048
239,"void tmac_gemv_direct<(ggml_type)16, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,198,3413214,3413214,65536,256,9216,0,96,0,128,32,0x0,0x78416952d9c0,2048
241,"void tmac_gemv_direct<(ggml_type)12, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,200,3413214,3413214,16384,256,0,0,72,0,128,32,0x0,0x78416952cfc0,512
242,"void tmac_gemv_direct<(ggml_type)16, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,201,3413214,3413214,16384,256,9216,0,96,0,128,32,0x0,0x78416952d9c0,512
249,"void tmac_gemv_direct<(ggml_type)16, true>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,208,3413214,3413214,65536,256,9216,0,96,0,128,32,0x0,0x78416952d980,2048
251,"void tmac_gemv_fused_glu<(ggml_type)16, (ggml_glu_op)2>(float*, void const*, void const*, float const*, int, int, int const*, long, int) [clone .kd]",1,1,210,3413214,3413214,262144,256,9216,0,104,0,128,32,0x0,0x78416952da00,8192
252,"void tmac_gemv_direct<(ggml_type)16, true>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,211,3413214,3413214,65536,256,9216,0,96,0,128,32,0x0,0x78416952d980,2048
254,"void tmac_gemv_direct<(ggml_type)16, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,213,3413214,3413214,65536,256,9216,0,96,0,128,32,0x0,0x78416952d9c0,2048
256,"void tmac_gemv_direct<(ggml_type)12, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,215,3413214,3413214,16384,256,0,0,72,0,128,32,0x0,0x78416952cfc0,512
257,"void tmac_gemv_direct<(ggml_type)16, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,216,3413214,3413214,16384,256,9216,0,96,0,128,32,0x0,0x78416952d9c0,512
264,"void tmac_gemv_direct<(ggml_type)16, true>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,223,3413214,3413214,65536,256,9216,0,96,0,128,32,0x0,0x78416952d980,2048
266,"void tmac_gemv_fused_glu<(ggml_type)16, (ggml_glu_op)2>(float*, void const*, void const*, float const*, int, int, int const*, long, int) [clone .kd]",1,1,225,3413214,3413214,262144,256,9216,0,104,0,128,32,0x0,0x78416952da00,8192
267,"void tmac_gemv_direct<(ggml_type)16, true>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,226,3413214,3413214,65536,256,9216,0,96,0,128,32,0x0,0x78416952d980,2048
269,"void tmac_gemv_direct<(ggml_type)16, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,228,3413214,3413214,65536,256,9216,0,96,0,128,32,0x0,0x78416952d9c0,2048
271,"void tmac_gemv_direct<(ggml_type)12, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,230,3413214,3413214,16384,256,0,0,72,0,128,32,0x0,0x78416952cfc0,512
272,"void tmac_gemv_direct<(ggml_type)16, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,231,3413214,3413214,16384,256,9216,0,96,0,128,32,0x0,0x78416952d9c0,512
279,"void tmac_gemv_direct<(ggml_type)16, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,238,3413214,3413214,65536,256,9216,0,96,0,128,32,0x0,0x78416952d9c0,2048
284,"void tmac_gemv_fused_glu<(ggml_type)16, (ggml_glu_op)2>(float*, void const*, void const*, float const*, int, int, int const*, long, int) [clone .kd]",1,1,243,3413214,3413214,262144,256,9216,0,104,0,128,32,0x0,0x78416952da00,8192
285,"void tmac_gemv_direct<(ggml_type)16, true>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,244,3413214,3413214,65536,256,9216,0,96,0,128,32,0x0,0x78416952d980,2048
287,"void tmac_gemv_direct<(ggml_type)13, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,246,3413214,3413214,4104192,256,0,0,56,0,128,32,0x0,0x78416952d1c0,128256
295,"void tmac_gemv_direct<(ggml_type)16, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,250,3413214,3413214,65536,256,9216,0,96,0,128,32,0x0,0x78416952d9c0,2048
297,"void tmac_gemv_direct<(ggml_type)12, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,252,3413214,3413214,16384,256,0,0,72,0,128,32,0x0,0x78416952cfc0,512
298,"void tmac_gemv_direct<(ggml_type)16, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,253,3413214,3413214,16384,256,9216,0,96,0,128,32,0x0,0x78416952d9c0,512
305,"void tmac_gemv_direct<(ggml_type)16, true>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,260,3413214,3413214,65536,256,9216,0,96,0,128,32,0x0,0x78416952d980,2048
