# date=2026-03-05T21:59:11+00:00,rocm=7.2.0,hip=7.2.26015-fc0010cf6a,gpu=AMD Radeon RX 7900 XTX,kernel=6.17.0-14-generic,commit=760af6ce3
model,metric,run,variant,tokens_per_sec
8B-Q5_K_M,tg128,4,stock,96.328473
8B-Q5_K_M,tg128,5,tmac,102.831313
8B-Q5_K_M,tg128,5,stock,96.267753
8B-Q5_K_M,pp512,1,tmac,3008.516800
8B-Q5_K_M,pp512,1,stock,2989.984236
8B-Q5_K_M,pp512,2,tmac,3011.084874
8B-Q5_K_M,pp512,2,stock,2997.883921
8B-Q5_K_M,pp512,3,tmac,3015.353651
8B-Q5_K_M,pp512,3,stock,2993.630665
8B-Q5_K_M,pp512,4,tmac,3013.283277
8B-Q5_K_M,pp512,4,stock,2988.069944
8B-Q5_K_M,pp512,5,tmac,2993.400843
8B-Q5_K_M,pp512,5,stock,2989.844206
OLMoE-IQ3_S,tg128,1,tmac,390.512686
OLMoE-IQ3_S,tg128,1,stock,309.767567
OLMoE-IQ3_S,tg128,2,tmac,388.983436
OLMoE-IQ3_S,tg128,2,stock,308.363835
OLMoE-IQ3_S,tg128,3,tmac,390.172726
OLMoE-IQ3_S,tg128,3,stock,307.807881
OLMoE-IQ3_S,tg128,4,tmac,389.159050
OLMoE-IQ3_S,tg128,4,stock,310.027777
OLMoE-IQ3_S,tg128,5,tmac,390.945042
OLMoE-IQ3_S,tg128,5,stock,310.186684
OLMoE-IQ3_S,pp512,1,tmac,3919.092779
OLMoE-IQ3_S,pp512,1,stock,3892.233866
OLMoE-IQ3_S,pp512,2,tmac,3899.598232
OLMoE-IQ3_S,pp512,2,stock,3922.658505
OLMoE-IQ3_S,pp512,3,tmac,3916.693340
OLMoE-IQ3_S,pp512,3,stock,3903.863072
OLMoE-IQ3_S,pp512,4,tmac,3902.780756
OLMoE-IQ3_S,pp512,4,stock,3894.614945
OLMoE-IQ3_S,pp512,5,tmac,3904.665457
OLMoE-IQ3_S,pp512,5,stock,3896.462736
OLMoE-IQ3_XXS,tg128,1,tmac,398.188335
OLMoE-IQ3_XXS,tg128,1,stock,305.427325
OLMoE-IQ3_XXS,tg128,2,tmac,396.828519
OLMoE-IQ3_XXS,tg128,2,stock,306.562961
OLMoE-IQ3_XXS,tg128,3,tmac,399.403010
OLMoE-IQ3_XXS,tg128,3,stock,305.227219
OLMoE-IQ3_XXS,tg128,4,tmac,395.959224
OLMoE-IQ3_XXS,tg128,4,stock,306.426245
OLMoE-IQ3_XXS,tg128,5,tmac,396.770594
OLMoE-IQ3_XXS,tg128,5,stock,304.644705
OLMoE-IQ3_XXS,pp512,1,tmac,4141.481920
OLMoE-IQ3_XXS,pp512,1,stock,4133.638765
OLMoE-IQ3_XXS,pp512,2,tmac,4120.890840
OLMoE-IQ3_XXS,pp512,2,stock,4112.054414
OLMoE-IQ3_XXS,pp512,3,tmac,4112.963176
OLMoE-IQ3_XXS,pp512,3,stock,4128.707256
OLMoE-IQ3_XXS,pp512,4,tmac,4119.068000
OLMoE-IQ3_XXS,pp512,4,stock,4121.319441
OLMoE-IQ3_XXS,pp512,5,tmac,4113.769576
OLMoE-IQ3_XXS,pp512,5,stock,4123.158154
